cbsa	metro_name	yr	qtr	index_nsa	index_sa
10420	"Akron, OH"	1991	1	100	100
10420	"Akron, OH"	1991	2	102.33	101.06
10420	"Akron, OH"	1991	3	102.14	101.4
10420	"Akron, OH"	1991	4	103.08	103.09
10420	"Akron, OH"	1992	1	104.49	104.48
10420	"Akron, OH"	1992	2	106.76	105.46
10420	"Akron, OH"	1992	3	108.23	107.42
10420	"Akron, OH"	1992	4	108.65	108.72
10420	"Akron, OH"	1993	1	110.09	109.99
10420	"Akron, OH"	1993	2	112.58	111.29
10420	"Akron, OH"	1993	3	113.7	112.76
10420	"Akron, OH"	1993	4	114.23	114.39
10420	"Akron, OH"	1994	1	114.41	114.18
10420	"Akron, OH"	1994	2	119.5	118.27
10420	"Akron, OH"	1994	3	119.88	118.84
10420	"Akron, OH"	1994	4	119.73	119.91
10420	"Akron, OH"	1995	1	122.11	121.79
10420	"Akron, OH"	1995	2	123.85	122.67
10420	"Akron, OH"	1995	3	125.23	124.12
10420	"Akron, OH"	1995	4	124.7	124.85
10420	"Akron, OH"	1996	1	128.64	128.27
10420	"Akron, OH"	1996	2	128.77	127.62
10420	"Akron, OH"	1996	3	132.18	131.07
10420	"Akron, OH"	1996	4	131.25	131.25
10420	"Akron, OH"	1997	1	132.08	131.79
10420	"Akron, OH"	1997	2	132.97	131.81
10420	"Akron, OH"	1997	3	133.87	132.77
10420	"Akron, OH"	1997	4	135.93	135.75
10420	"Akron, OH"	1998	1	136.42	136.32
10420	"Akron, OH"	1998	2	139.62	138.34
10420	"Akron, OH"	1998	3	140.04	138.93
10420	"Akron, OH"	1998	4	140.58	140.13
10420	"Akron, OH"	1999	1	143.1	143.33
10420	"Akron, OH"	1999	2	145.9	144.4
10420	"Akron, OH"	1999	3	146.49	145.33
10420	"Akron, OH"	1999	4	147.55	147
10420	"Akron, OH"	2000	1	145.99	146.43
10420	"Akron, OH"	2000	2	150.26	148.63
10420	"Akron, OH"	2000	3	152.07	150.81
10420	"Akron, OH"	2000	4	152.31	151.77
10420	"Akron, OH"	2001	1	152.08	152.59
10420	"Akron, OH"	2001	2	156.57	154.9
10420	"Akron, OH"	2001	3	155.62	154.15
10420	"Akron, OH"	2001	4	159.22	158.85
10420	"Akron, OH"	2002	1	156.61	157.05
10420	"Akron, OH"	2002	2	159.9	158.23
10420	"Akron, OH"	2002	3	160.4	158.77
10420	"Akron, OH"	2002	4	160.98	160.8
10420	"Akron, OH"	2003	1	162.63	162.98
10420	"Akron, OH"	2003	2	164.99	163.29
10420	"Akron, OH"	2003	3	167.35	165.5
10420	"Akron, OH"	2003	4	165.77	165.81
10420	"Akron, OH"	2004	1	166.96	167.26
10420	"Akron, OH"	2004	2	168.1	166.32
10420	"Akron, OH"	2004	3	169.79	167.79
10420	"Akron, OH"	2004	4	168.82	169.04
10420	"Akron, OH"	2005	1	170.56	170.93
10420	"Akron, OH"	2005	2	175.03	173.11
10420	"Akron, OH"	2005	3	174.51	172.26
10420	"Akron, OH"	2005	4	170.99	171.21
10420	"Akron, OH"	2006	1	175.96	176.82
10420	"Akron, OH"	2006	2	175.12	172.9
10420	"Akron, OH"	2006	3	175.92	173.57
10420	"Akron, OH"	2006	4	172.55	172.51
10420	"Akron, OH"	2007	1	170.98	172.52
10420	"Akron, OH"	2007	2	173.67	171.09
10420	"Akron, OH"	2007	3	170.96	168.74
10420	"Akron, OH"	2007	4	166.52	166.02
10420	"Akron, OH"	2008	1	164.03	166.25
10420	"Akron, OH"	2008	2	163.98	161.28
10420	"Akron, OH"	2008	3	160.15	158.12
10420	"Akron, OH"	2008	4	153.5	152.66
10420	"Akron, OH"	2009	1	146.16	148.6
10420	"Akron, OH"	2009	2	154.94	152.19
10420	"Akron, OH"	2009	3	155.28	153.49
10420	"Akron, OH"	2009	4	156.41	155.25
10420	"Akron, OH"	2010	1	148.65	151.25
10420	"Akron, OH"	2010	2	155.44	152.68
10420	"Akron, OH"	2010	3	150.26	148.71
10420	"Akron, OH"	2010	4	149.97	148.74
10420	"Akron, OH"	2011	1	142.92	145.25
10420	"Akron, OH"	2011	2	143.63	141.17
10420	"Akron, OH"	2011	3	145.3	143.91
10420	"Akron, OH"	2011	4	141.2	140.19
10420	"Akron, OH"	2012	1	139.01	140.83
10420	"Akron, OH"	2012	2	146.76	144.48
10420	"Akron, OH"	2012	3	145.15	143.7
10420	"Akron, OH"	2012	4	151.48	150.69
10420	"Akron, OH"	2013	1	154.54	156.18
10420	"Akron, OH"	2013	2	154.99	152.6
10420	"Akron, OH"	2013	3	155.67	154.13
10420	"Akron, OH"	2013	4	154.49	154.04
10420	"Akron, OH"	2014	1	152.06	153.32
10420	"Akron, OH"	2014	2	156.66	154.3
10420	"Akron, OH"	2014	3	159.52	157.89
10420	"Akron, OH"	2014	4	155.66	155.37
10420	"Akron, OH"	2015	1	157.44	158.74
10420	"Akron, OH"	2015	2	164.65	162.11
10420	"Akron, OH"	2015	3	163.2	161.4
10420	"Akron, OH"	2015	4	166.46	166.32
10420	"Akron, OH"	2016	1	162.38	163.72
10420	"Akron, OH"	2016	2	171.11	168.52
10420	"Akron, OH"	2016	3	170.27	168.18
10420	"Akron, OH"	2016	4	169.54	169.48
10420	"Akron, OH"	2017	1	172.28	173.82
10420	"Akron, OH"	2017	2	176.69	174.01
10420	"Akron, OH"	2017	3	180	177.59
10420	"Akron, OH"	2017	4	181.81	181.91
10420	"Akron, OH"	2018	1	181.89	183.42
10420	"Akron, OH"	2018	2	187.41	184.75
10420	"Akron, OH"	2018	3	191.38	188.56
10420	"Akron, OH"	2018	4	188.88	189.18
10420	"Akron, OH"	2019	1	189.07	190.55
10420	"Akron, OH"	2019	2	198.5	195.84
10420	"Akron, OH"	2019	3	200.65	197.39
10420	"Akron, OH"	2019	4	198.61	199.32
10420	"Akron, OH"	2020	1	202.62	204.04
10420	"Akron, OH"	2020	2	210.38	207.44
10420	"Akron, OH"	2020	3	219.59	215.97
10420	"Akron, OH"	2020	4	224.65	225.84
10420	"Akron, OH"	2021	1	230.97	232.38
10420	"Akron, OH"	2021	2	244.34	240.69
10420	"Akron, OH"	2021	3	255.55	251.44
10420	"Akron, OH"	2021	4	254.6	256.32
10420	"Akron, OH"	2022	1	266.53	267.86
10420	"Akron, OH"	2022	2	278.45	274.11
10420	"Akron, OH"	2022	3	278.86	274.5
10420	"Akron, OH"	2022	4	275.82	277.94
10580	"Albany-Schenectady-Troy, NY"	1991	1	100	100
10580	"Albany-Schenectady-Troy, NY"	1991	2	100	100.51
10580	"Albany-Schenectady-Troy, NY"	1991	3	100.14	100.41
10580	"Albany-Schenectady-Troy, NY"	1991	4	99.9	98.92
10580	"Albany-Schenectady-Troy, NY"	1992	1	103.26	103.33
